Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2023-11-06,381.74578857421875,383.8118940552602,379.8180670581555,382.67504579882325,2020500
2023-11-07,384.4248046875,385.13657554181896,379.9070373228469,381.5876166137676,2324200
2023-11-08,385.2453308105469,386.8962240579644,382.5761825854817,382.6849106886887,2838400
2023-11-09,383.5251770019531,386.9753029327562,382.8430620563383,386.49088366332956,2657100
2023-11-10,389.871826171875,390.5737016770492,382.31914493528114,385.5814405618453,2807000
2023-11-13,389.8421630859375,391.1075301079871,388.5273495162127,389.8421630859375,1614600
2023-11-14,393.10443115234375,397.0883627555026,392.21472514417474,392.63980254592786,2733900
2023-11-15,392.29376220703125,394.7157679492168,390.24744762235844,392.9264607499813,2434600
2023-11-16,392.56072998046875,395.3781574779472,391.02843003053437,393.46033133124143,3060600
2023-11-17,395.7241516113281,396.53478541744096,393.3614874309884,395.397937121358,2365500
2023-11-20,399.7772521972656,400.5681254087519,393.7074549138411,396.1393259306137,2768300
2023-11-21,404.2752990722656,405.65928961953585,401.05255452247616,401.0822103853201,2567500
2023-11-22,405.63946533203125,408.1306782794976,405.4615301697062,407.5474262460573,1967900
2023-11-24,407.7846984863281,408.2493271071103,405.8372164165048,407.77480314267405,1053500
2023-11-27,404.2950439453125,408.00217750100023,403.5832730958712,406.3018377033756,2665900
2023-11-28,404.3345642089844,405.9459362982107,402.8022643553206,404.40374110182864,2645000
2023-11-29,405.1353454589844,407.36949083262215,404.73992390186777,406.3117449552997,2151400
2023-11-30,409.09942626953125,409.4256708784164,404.10716573789654,405.41208383598405,3203500
2023-12-01,409.6233825683594,411.8377973523059,406.8652971420306,408.1702152911679,2171400
2023-12-04,403.5634765625,410.1077975884435,403.3657507230169,409.099438043298,3097900
2023-12-05,404.01824951171875,404.3741198553027,399.69820799596386,402.4365331465304,2755600
2023-12-06,405.6889343261719,409.0896139595084,402.50574107062073,406.72691966589775,2224200
2023-12-07,408.42724609375,408.84245831726736,405.3033646646609,407.35960492699445,2363000
2023-12-08,407.44854736328125,408.9412960046867,404.55204782687593,407.5078590817332,1959300
2023-12-11,410.9580078125,411.4127712709655,407.6660863386123,407.74515858384495,2236000
2023-12-12,415.9403381347656,416.187480343996,409.95950873888063,412.2332049963096,2736500
2023-12-13,419.8254699707031,421.49615397148364,414.3586846817899,417.0376981881157,3694200
2023-12-14,413.775390625,420.98206625317533,411.14579376726596,420.15167200895326,3989700
2023-12-15,413.78533935546875,414.46745438850365,406.8950121223885,407.9033416557421,5566600
2023-12-18,419.5783386230469,420.23079779137083,414.7343564968344,414.7343564968344,2686900
2023-12-19,420.6064147949219,421.80257472721496,417.69012444674047,419.2026336703152,2256200
2023-12-20,414.6552429199219,422.72193870725107,414.4476217265595,420.2208605623334,3058300
2023-12-21,418.599609375,419.0543426130062,415.80194254734334,416.9684767551312,2213600
2023-12-22,419.2521057128906,422.2870196876821,418.12512260743813,419.89466950888146,1759000
2023-12-26,418.8269958496094,420.85355001121025,418.11522504044734,420.1417792020482,1258200
2023-12-27,419.50909423828125,420.1516881740649,418.1251037779962,418.1646549822127,1324100
2023-12-28,421.44671630859375,423.4633752178527,418.8368798348755,418.9258474189255,1505000
2023-12-29,421.6345520019531,423.45351524747707,419.4201370419295,421.80259182875835,1706100
2024-01-02,417.0673828125,419.43004699466024,414.7640001871034,419.24221647434956,2463700
2024-01-03,413.9830017089844,416.5236311103415,412.7275300233088,416.3852471472947,3093700
2024-01-04,414.9715881347656,418.6095448941551,413.49863001473256,413.7161163961703,2042600
2024-01-05,414.6255798339844,417.927396327965,412.22333448731524,415.68332562497943,2415900
2024-01-08,417.8138122558594,417.9128007851867,412.4176078912539,415.2988811556025,2125400
2024-01-09,418.4277038574219,419.5168496725558,414.4077903894297,414.9622591287196,2439300
2024-01-10,424.04168701171875,425.229851519524,419.96236853321466,421.7941095592983,2709300
2024-01-11,422.507080078125,427.52703223504875,421.566447151421,425.7546960861306,2320600
2024-01-12,424.863525390625,426.8536602243243,423.477353556728,425.70513943072376,1892400
2024-01-16,424.12091064453125,425.4872907525098,422.30896129568026,423.2198914397587,2398000
2024-01-17,423.2001037597656,426.13087127547266,421.2792549255869,421.2792549255869,2690400
2024-01-18,426.467529296875,426.96259282780954,423.2298246824241,424.40807830335063,2075700
2024-01-19,432.4676513671875,432.7547966454724,425.10110438473987,428.27940345833787,2400200
2024-01-22,435.4083251953125,436.5865786802267,432.9429187650637,434.64593832354063,2715500
2024-01-23,434.4281921386719,436.2500224441242,433.5370535426756,435.92326356791705,2328600
2024-01-24,434.36871337890625,436.5766771813187,431.457737672797,434.20037849901735,2725700
2024-01-25,432.48748779296875,434.299437234185,430.1705940981394,431.6953982313498,2977800
2024-01-26,434.2004089355469,435.5469974202195,426.41802491763286,428.2794383681274,2725400
2024-01-29,436.2301330566406,436.6063861449417,430.37850917499804,431.4775356227725,2314200
2024-01-30,440.794677734375,441.8145074194469,435.7054100327577,436.5470240951057,2663600
2024-01-31,444.79473876953125,457.43864899038874,442.2104917283556,445.557125639989,4740500
2024-02-01,456.36932373046875,456.58715286651665,449.56712625235787,450.5077589344458,3292700
2024-02-02,456.03271484375,459.2605387770025,453.973263823205,457.6466268103763,2050300
2024-02-05,452.2503967285156,456.81486747810374,451.0325296984471,454.97324584930794,2438800
2024-02-06,455.9535217285156,456.0129269361941,450.8642540180026,450.8642540180026,2201900
2024-02-07,457.3495788574219,457.67630748130483,455.0821795040923,456.6564778517225,2544300
2024-02-08,453.735595703125,456.2010021933552,452.93359527338083,455.4584069646085,2081300
2024-02-09,453.3593444824219,454.45837092167045,451.86424307985897,453.5375600861469,2155400
2024-02-12,454.1811218261719,454.8643118345399,451.5770831299686,454.64648269830263,1794500
2024-02-13,455.9138488769531,457.3198424470991,451.5375046604409,452.25039727612625,2407700
2024-02-14,460.5971984863281,460.8546411850049,454.9039680269526,457.4386908228679,2202700
2024-02-15,466.6270446777344,467.4488367808189,460.6367884999172,461.2308405183987,2354100
2024-02-16,463.5081787109375,469.4885545271727,462.45864645985944,469.4885545271727,2237200
2024-02-20,447.2898864746094,451.34941334696515,445.67597457867964,448.32950777115997,5044200
2024-02-21,454.5177917480469,455.06237973318696,447.53740841568526,448.83447238118066,2895800
2024-02-22,466.9043273925781,467.8350492729845,457.0228481724009,457.25058828059593,2572800
2024-02-23,468.7459716796875,470.4786940555333,467.2013456485271,469.05290865467776,1764100
2024-02-26,469.8251647949219,470.3895142113683,467.3399363961488,468.33006338003895,2066900
2024-02-27,470.06280517578125,470.3103369320613,465.3102075417162,469.8647676842457,2011100
2024-02-28,474.1223449707031,474.4094902763882,468.9934940924146,469.4885576184953,1931900
2024-02-29,470.0727233886719,473.666889380075,467.3894573533574,473.28072533048925,3072500
2024-03-01,471.92425537109375,472.78566106030576,469.2211976771188,470.2212356555866,1748300
2024-03-04,463.86456298828125,471.9242108277723,461.1714164881013,470.97369742073124,3212400
2024-03-05,462.9041748046875,464.6071944924924,460.0328124819281,462.75566179452863,2015100
2024-03-06,466.94390869140625,468.9439543940151,462.5477423051519,462.5477423051519,1917100
2024-03-07,462.9239807128906,468.59738901917893,461.2902772249481,468.52810309434767,2178100
2024-03-08,464.62701416015625,466.96369941894454,462.48833617521115,462.48833617521115,1596900
2024-03-11,464.52801513671875,464.7359333587788,460.1021459694754,464.3695911811511,1774500
2024-03-12,468.2013244628906,469.686514882977,464.0823927385646,465.8844310335091,1853900
2024-03-13,470.9143371582031,471.458925194858,468.11229075066194,469.54798713714695,2103900
2024-03-14,474.74609375,477.24120285386573,472.4687835734205,476.27086753866814,2757700
2024-03-15,471.13214111328125,473.7361800905298,468.4092917245853,468.6667344269078,4179300
2024-03-18,474.16192626953125,476.0728640983484,471.944021276441,473.9143945233235,2072300
2024-03-19,479.22149658203125,479.82545958423975,474.77583575608935,476.8649893468785,2049500
2024-03-20,483.2215881347656,483.62754382953796,478.86503539069537,479.5383144968299,1691100
2024-03-21,483.815673828125,485.16223205000125,478.62738777913336,483.70674414520016,2580300
2024-03-22,476.91448974609375,484.0632079601132,476.70654131847203,483.48891737374606,2277800
